Date,Close,High,Low,Open,Volume,Day,Ticker
2016-04-08,204.5,205.85,203.87,205.32,224642,67.0,SPY
2016-04-11,204.02,206.07,203.91,205.23,198335,68.0,SPY
2016-04-12,205.92,206.25,203.7,204.2,254718,69.0,SPY
2016-04-13,208.0,208.1,206.85,207.02,234438,70.0,SPY
2016-04-14,208.01,208.6,207.61,208.03,147249,71.0,SPY
2016-04-15,207.78,208.11,207.4,208.0,150007,72.0,SPY
2016-04-18,209.24,209.27,207.0,207.11,167205,73.0,SPY
2016-04-19,209.9,210.2,208.94,209.7,177828,74.0,SPY
2016-04-20,210.1,210.92,209.39,209.9,159872,75.0,SPY
2016-04-21,208.97,210.25,208.65,210.13,154668,76.0,SPY
2016-04-22,208.97,209.29,207.91,208.53,182572,77.0,SPY
2016-04-25,208.61,208.62,207.54,208.28,140395,78.0,SPY
2016-04-26,208.92,209.52,208.37,209.02,149275,79.0,SPY
2016-04-27,209.35,209.81,208.06,208.46,182159,80.0,SPY
2016-04-28,207.445,209.76,206.97,208.49,221526,81.0,SPY
2016-04-29,206.33,207.13,205.03,206.71,314937,82.0,SPY
2016-05-02,207.97,208.18,206.41,206.9,149886,83.0,SPY
2016-05-03,206.16,206.79,205.28,206.5,228975,84.0,SPY
2016-05-04,205.01,205.85,204.42,205.0,199341,85.0,SPY
2016-05-05,204.97,205.98,204.47,205.57,172705,86.0,SPY
2016-05-06,205.72,205.77,203.88,204.04,198526,87.0,SPY
2016-05-09,205.89,206.4,205.37,205.58,154027,88.0,SPY
2016-05-10,208.45,208.46,206.64,206.64,165165,89.0,SPY
2016-05-11,206.5,208.33,206.51,207.89,175192,90.0,SPY
2016-05-12,206.56,207.48,205.37,207.29,236152,91.0,SPY
2016-05-13,204.76,206.85,204.38,206.23,247124,92.0,SPY
2016-05-16,206.78,207.34,204.9,204.95,188974,93.0,SPY
2016-05-17,204.85,206.79,204.23,206.44,286217,94.0,SPY
2016-05-18,204.91,206.29,203.63,204.44,320623,95.0,SPY
2016-05-19,204.2,204.54,202.78,204.0,276097,96.0,SPY
2016-05-20,205.49,206.1,204.86,204.95,204565,97.0,SPY
2016-05-23,205.21,205.84,204.99,205.48,132223,98.0,SPY
2016-05-24,207.87,208.24,206.14,206.15,189965,99.0,SPY
2016-05-25,209.28,209.77,208.62,208.64,177028,100.0,SPY
2016-05-26,209.34,209.7,208.98,209.47,112369,101.0,SPY
2016-05-27,210.24,210.21,209.47,209.55,134361,102.0,SPY
2016-05-31,209.84,210.69,209.18,210.53,185939,103.0,SPY
2016-06-01,210.27,210.48,208.89,209.15,162896,104.0,SPY
2016-06-02,210.91,210.91,209.24,209.8,140396,105.0,SPY
2016-06-03,210.28,210.68,208.87,210.32,240440,106.0,SPY
2016-06-06,211.35,211.76,210.51,210.71,147101,107.0,SPY
2016-06-07,211.68,212.33,211.5,211.56,127798,108.0,SPY
2016-06-08,212.37,212.52,211.69,211.83,143894,109.0,SPY
2016-06-09,212.08,212.22,211.2,211.49,158695,110.0,SPY
2016-06-10,210.07,210.86,209.43,210.43,228089,111.0,SPY
2016-06-13,208.45,210.37,208.35,209.34,226889,112.0,SPY
